,city,churn,type_of_plan,highest_level_education,work_status,sex,salary_monthly,relationship_status,payment_per_month,weeks_since_claim,open_policies,Renew Offer Type,reachability,claim_amount,type_of_vehicle
2006,Kumasi,No,premium_plan,High School or Below,Employed,male,3918.620689655173,Married,232,120.0,1,2,customer_call_centre,556.8,4-door_car
2007,Accra,No,extended_plan,High School or Below,Unemployed,female,0.0,Single,198,60.0,9,1,contacting_branch_directly,712.8,2-door_car
2008,Accra,No,primary_plan,High School or Below,Medical Leave,female,2988.1034482758623,Divorced,234,56.0,6,1,contacting_agent,1138.255325,SUV
2009,Accra,No,primary_plan,College,Employed,female,6057.413793103448,Married,204,9.0,2,1,contacting_agent,692.962785,SUV
2010,Cape_coast,No,primary_plan,College,Employed,female,10887.41379310345,Married,128,4.0,4,1,contacting_agent,87.565229,4-door_car
2011,Accra,No,extended_plan,College,Employed,female,11650.862068965518,Married,182,116.0,2,1,contacting_agent,401.60781,4-door_car
2012,Kumasi,No,premium_plan,High School or Below,Unemployed,male,0.0,Single,222,125.0,1,1,contacting_branch_directly,799.2,2-door_car
2013,Accra,No,primary_plan,High School or Below,Employed,female,8330.172413793103,Divorced,142,146.0,2,1,contacting_agent,340.8,4-door_car
2014,Takoradi,Yes,premium_plan,High School or Below,Employed,female,5920.172413793103,Married,226,86.0,9,2,via_the_web,542.4,4-door_car
2015,Kumasi,No,primary_plan,High School or Below,Employed,male,5830.689655172414,Single,144,26.0,3,2,contacting_agent,341.878002,4-door_car
2016,Accra,No,extended_plan,High School or Below,Medical Leave,female,3868.793103448276,Married,196,129.0,1,1,contacting_agent,470.4,4-door_car
2017,Kumasi,No,primary_plan,College,Employed,female,13630.172413793103,Divorced,372,138.0,1,2,contacting_branch_directly,177.635183,luxurious_suv
2018,Cape_coast,No,primary_plan,College,Employed,female,7791.551724137931,Married,138,77.0,1,2,via_the_web,330.782934,4-door_car
2019,Accra,No,primary_plan,Bachelor,Employed,male,7239.6551724137935,Married,132,99.0,1,1,contacting_agent,316.8,4-door_car
2020,Kumasi,No,primary_plan,Master,Employed,female,8789.48275862069,Married,122,108.0,1,1,contacting_branch_directly,262.842655,2-door_car
2021,Kumasi,No,premium_plan,College,Employed,female,10325.51724137931,Married,212,26.0,3,1,contacting_branch_directly,712.682559,4-door_car
2022,Accra,Yes,extended_plan,College,Medical Leave,male,3616.896551724138,Married,196,82.0,1,2,contacting_branch_directly,1176.2788,4-door_car
2023,Accra,No,primary_plan,High School or Below,Employed,male,5656.379310344828,Married,146,43.0,1,2,customer_call_centre,350.4,4-door_car
2024,Cape_coast,Yes,extended_plan,College,Employed,male,10071.379310344828,Single,420,30.0,1,2,contacting_agent,1008.0,luxurious_suv
2025,Takoradi,Yes,primary_plan,College,Employed,female,8632.931034482759,Single,142,13.0,1,2,contacting_agent,18.918935,2-door_car
2026,Cape_coast,No,primary_plan,High School or Below,Employed,female,11688.96551724138,Married,138,30.0,8,2,via_the_web,331.2,4-door_car
2027,Tamale,No,premium_plan,Bachelor,Employed,female,15646.551724137931,Married,340,129.0,1,4,contacting_agent,746.0459,SUV
2028,Tamale,Yes,extended_plan,Master,Unemployed,male,0.0,Single,250,26.0,2,1,contacting_agent,900.0,SUV
2029,Kumasi,No,primary_plan,Bachelor,Employed,male,11963.275862068966,Married,142,69.0,3,2,contacting_agent,71.517444,4-door_car
2030,Kumasi,No,primary_plan,Doctor,Employed,male,5014.48275862069,Divorced,142,60.0,3,1,via_the_web,492.088331,4-door_car
2031,Kumasi,No,primary_plan,Bachelor,Employed,male,10381.724137931034,Married,200,34.0,4,1,contacting_agent,291.287905,Sports Car
2032,Kumasi,No,extended_plan,High School or Below,Employed,male,16554.8275862069,Married,244,34.0,3,2,via_the_web,390.88142,SUV
2033,Tamale,No,primary_plan,High School or Below,Employed,male,3470.344827586207,Married,140,120.0,2,2,contacting_branch_directly,336.0,4-door_car
2034,Accra,No,premium_plan,High School or Below,Employed,female,10385.0,Married,232,125.0,2,2,contacting_branch_directly,481.265179,2-door_car
2035,Kumasi,No,extended_plan,Bachelor,Employed,male,9124.137931034484,Divorced,186,77.0,3,1,contacting_branch_directly,1101.05432,4-door_car
2036,Accra,No,primary_plan,Bachelor,Employed,male,15570.689655172417,Married,208,39.0,1,2,customer_call_centre,166.355491,SUV
2037,Accra,Yes,extended_plan,College,Employed,male,10071.379310344828,Single,420,30.0,1,2,contacting_agent,1008.0,luxurious_suv
2038,Tamale,No,primary_plan,College,Employed,female,17205.172413793105,Single,128,103.0,2,3,customer_call_centre,178.986788,4-door_car
2039,Kumasi,No,primary_plan,High School or Below,Disabled,male,3648.1034482758623,Married,146,150.0,2,2,contacting_branch_directly,350.4,4-door_car
2040,Tamale,No,primary_plan,Bachelor,Employed,female,13741.206896551725,Married,130,103.0,1,2,customer_call_centre,348.82656,2-door_car
2041,Takoradi,No,primary_plan,Bachelor,Employed,female,11764.827586206897,Married,228,9.0,6,2,contacting_agent,20.725611,SUV
2042,Takoradi,Yes,premium_plan,High School or Below,Employed,female,10208.103448275862,Single,232,99.0,2,1,contacting_agent,556.8,4-door_car
2043,Tamale,No,extended_plan,High School or Below,Employed,male,3706.7241379310335,Married,270,146.0,3,2,contacting_branch_directly,648.0,SUV
2044,Takoradi,No,premium_plan,High School or Below,Employed,male,13372.93103448276,Married,286,150.0,1,4,customer_call_centre,545.999699,Sports Car
2045,Takoradi,No,extended_plan,College,Employed,female,5761.206896551725,Divorced,156,64.0,1,2,contacting_branch_directly,374.4,4-door_car
2046,Accra,No,extended_plan,Bachelor,Employed,female,3479.137931034483,Married,266,125.0,5,3,contacting_agent,638.4,SUV
2047,Accra,No,primary_plan,Bachelor,Employed,male,8646.034482758621,Single,202,17.0,3,1,contacting_branch_directly,484.8,SUV
2048,Tamale,No,extended_plan,Doctor,Employed,female,3877.931034482759,Divorced,170,146.0,7,2,contacting_agent,61.654262,2-door_car
2049,Kumasi,No,extended_plan,Master,Unemployed,male,0.0,Divorced,198,108.0,2,1,contacting_agent,475.2,4-door_car
2050,Cape_coast,No,primary_plan,High School or Below,Employed,female,16157.758620689656,Married,204,39.0,4,3,via_the_web,254.83769,SUV
2051,Kumasi,No,premium_plan,High School or Below,Disabled,male,4058.620689655173,Married,206,129.0,1,3,contacting_branch_directly,494.4,2-door_car
2052,Accra,Yes,primary_plan,College,Medical Leave,female,4374.137931034483,Married,204,43.0,2,1,contacting_branch_directly,489.6,Sports Car
2053,Cape_coast,No,extended_plan,Bachelor,Employed,female,11857.06896551724,Divorced,192,43.0,2,1,customer_call_centre,276.268778,4-door_car
2054,Accra,Yes,primary_plan,Bachelor,Unemployed,female,0.0,Single,146,150.0,5,1,via_the_web,350.4,2-door_car
2055,Kumasi,No,primary_plan,College,Employed,female,11821.03448275862,Married,216,125.0,2,2,contacting_branch_directly,228.498823,SUV
2056,Takoradi,No,primary_plan,High School or Below,Employed,male,6333.275862068966,Married,142,90.0,2,2,contacting_agent,327.078047,4-door_car
2057,Cape_coast,No,primary_plan,College,Employed,female,7891.034482758621,Married,146,142.0,1,1,contacting_agent,191.934494,2-door_car
2058,Accra,No,primary_plan,Bachelor,Unemployed,female,0.0,Married,128,146.0,7,2,contacting_agent,307.2,4-door_car
2059,Takoradi,No,primary_plan,Master,Employed,male,10950.51724137931,Married,140,56.0,2,1,contacting_branch_directly,185.667213,4-door_car
2060,Takoradi,No,primary_plan,College,Employed,female,10027.758620689656,Married,136,82.0,5,2,customer_call_centre,140.747286,4-door_car
2061,Cape_coast,No,primary_plan,College,Employed,female,14420.689655172417,Married,140,86.0,4,2,contacting_branch_directly,471.050488,2-door_car
2062,Accra,No,extended_plan,Master,Unemployed,female,0.0,Married,192,9.0,1,1,contacting_agent,28.460568,2-door_car
2063,Accra,No,primary_plan,Bachelor,Unemployed,male,0.0,Married,222,150.0,1,1,customer_call_centre,700.349052,SUV
2064,Tamale,No,premium_plan,High School or Below,Unemployed,male,0.0,Single,208,56.0,1,3,contacting_branch_directly,499.2,2-door_car
2065,Takoradi,No,primary_plan,Master,Unemployed,male,0.0,Married,132,34.0,1,4,contacting_branch_directly,3.468912,2-door_car
2066,Cape_coast,Yes,extended_plan,Bachelor,Employed,female,4451.724137931034,Divorced,164,43.0,1,1,contacting_agent,393.6,4-door_car
2067,Accra,No,extended_plan,High School or Below,Unemployed,female,0.0,Married,242,69.0,1,4,contacting_agent,699.615192,SUV
2068,Accra,No,primary_plan,High School or Below,Employed,male,5235.517241379311,Single,202,108.0,3,1,contacting_branch_directly,484.8,SUV
2069,Takoradi,No,primary_plan,College,Employed,male,8929.137931034484,Divorced,140,34.0,1,4,customer_call_centre,336.0,4-door_car
2070,Kumasi,Yes,extended_plan,Master,Unemployed,male,0.0,Single,250,26.0,2,1,contacting_agent,900.0,SUV
2071,Kumasi,Yes,primary_plan,Bachelor,Retired,male,3208.2758620689656,Divorced,142,56.0,1,2,via_the_web,340.8,4-door_car
2072,Accra,No,primary_plan,College,Employed,female,14441.03448275862,Married,128,116.0,1,2,contacting_agent,106.591949,2-door_car
2073,Cape_coast,Yes,primary_plan,Master,Disabled,female,3945.862068965517,Divorced,130,39.0,3,1,contacting_agent,312.0,4-door_car
2074,Accra,Yes,extended_plan,High School or Below,Retired,female,2039.3103448275865,Divorced,180,77.0,2,1,contacting_agent,571.479602,4-door_car
2075,Accra,No,primary_plan,College,Employed,female,7717.586206896552,Married,124,60.0,6,1,contacting_branch_directly,114.51444,4-door_car
2076,Cape_coast,No,premium_plan,Bachelor,Unemployed,female,0.0,Married,350,52.0,1,1,customer_call_centre,1221.143438,SUV
2077,Takoradi,Yes,primary_plan,Bachelor,Employed,male,14252.41379310345,Married,228,103.0,9,2,contacting_agent,133.425609,SUV
2078,Kumasi,No,premium_plan,High School or Below,Unemployed,male,0.0,Single,216,30.0,1,2,contacting_branch_directly,777.6,4-door_car
2079,Takoradi,No,primary_plan,Bachelor,Unemployed,male,0.0,Single,126,4.0,2,1,contacting_branch_directly,302.4,4-door_car
2080,Tamale,No,primary_plan,College,Employed,female,14651.379310344828,Married,144,52.0,2,1,contacting_agent,166.77296,4-door_car
2081,Accra,Yes,extended_plan,Doctor,Employed,male,4166.206896551725,Divorced,274,9.0,5,2,contacting_agent,657.6,Sports Car
2082,Accra,No,extended_plan,College,Unemployed,female,0.0,Married,160,22.0,8,2,via_the_web,488.910614,4-door_car
2083,Tamale,No,primary_plan,High School or Below,Employed,male,10823.620689655172,Single,134,146.0,1,4,contacting_agent,101.288069,2-door_car
2084,Takoradi,Yes,primary_plan,Bachelor,Disabled,female,3424.8275862068967,Divorced,126,95.0,1,1,via_the_web,352.394515,4-door_car
2085,Takoradi,Yes,primary_plan,Bachelor,Employed,male,7660.0,Single,208,73.0,2,1,customer_call_centre,499.2,SUV
2086,Accra,No,primary_plan,Bachelor,Disabled,female,3644.655172413793,Divorced,226,64.0,5,3,via_the_web,656.798232,Sports Car
2087,Accra,No,extended_plan,College,Unemployed,male,0.0,Single,176,17.0,2,3,contacting_branch_directly,851.146266,4-door_car
2088,Accra,No,primary_plan,Bachelor,Medical Leave,female,2051.034482758621,Married,138,125.0,5,1,contacting_branch_directly,476.254583,2-door_car
2089,Kumasi,No,primary_plan,Bachelor,Unemployed,male,0.0,Married,146,150.0,1,2,via_the_web,350.4,2-door_car
2090,Accra,Yes,primary_plan,High School or Below,Retired,male,4822.758620689655,Married,122,30.0,1,3,via_the_web,292.8,4-door_car
2091,Accra,No,primary_plan,Doctor,Unemployed,male,0.0,Married,124,112.0,1,3,contacting_agent,624.711448,4-door_car
2092,Kumasi,No,primary_plan,High School or Below,Employed,female,6620.517241379311,Married,212,52.0,2,2,via_the_web,368.890904,SUV
2093,Takoradi,No,primary_plan,High School or Below,Employed,female,3597.9310344827586,Married,126,82.0,8,3,contacting_agent,134.629643,4-door_car
2094,Kumasi,No,primary_plan,Bachelor,Employed,male,8565.862068965518,Single,202,129.0,3,1,via_the_web,198.84453,SUV
2095,Accra,Yes,primary_plan,Bachelor,Employed,female,13636.206896551725,Married,214,9.0,3,2,contacting_branch_directly,289.040734,SUV
2096,Kumasi,No,extended_plan,High School or Below,Employed,female,14112.06896551724,Single,264,4.0,1,1,customer_call_centre,429.860895,Sports Car
2097,Takoradi,No,extended_plan,High School or Below,Medical Leave,male,3949.3103448275865,Married,152,73.0,8,4,contacting_branch_directly,519.883102,4-door_car
2098,Tamale,No,extended_plan,College,Unemployed,male,0.0,Single,166,64.0,1,1,contacting_agent,398.4,4-door_car
2099,Tamale,No,extended_plan,Bachelor,Employed,male,6403.103448275862,Single,166,52.0,9,1,customer_call_centre,417.28389,2-door_car
2100,Cape_coast,No,primary_plan,Bachelor,Unemployed,female,0.0,Single,142,138.0,2,1,customer_call_centre,511.2,4-door_car
2101,Kumasi,No,extended_plan,College,Employed,female,3624.8275862068967,Single,164,138.0,9,2,contacting_agent,450.129276,2-door_car
2102,Accra,No,premium_plan,High School or Below,Unemployed,male,0.0,Single,206,108.0,9,1,contacting_agent,741.6,4-door_car
2103,Kumasi,No,extended_plan,High School or Below,Employed,female,13299.137931034484,Divorced,168,13.0,8,2,via_the_web,98.372265,4-door_car
2104,Tamale,No,primary_plan,College,Unemployed,male,0.0,Divorced,218,13.0,2,1,contacting_agent,718.700718,Sports Car
2105,Takoradi,No,primary_plan,Bachelor,Unemployed,male,0.0,Single,228,13.0,1,1,customer_call_centre,820.8,SUV
2106,Kumasi,No,primary_plan,Bachelor,Employed,female,12559.48275862069,Married,216,56.0,2,1,customer_call_centre,463.000336,SUV
2107,Kumasi,No,primary_plan,High School or Below,Employed,female,8900.344827586207,Divorced,148,125.0,1,1,contacting_agent,355.2,4-door_car
2108,Takoradi,No,primary_plan,Bachelor,Unemployed,male,0.0,Divorced,122,108.0,2,1,contacting_branch_directly,292.8,2-door_car
2109,Kumasi,No,primary_plan,Bachelor,Medical Leave,female,2692.4137931034484,Married,228,86.0,2,1,contacting_agent,547.2,SUV
2110,Kumasi,No,extended_plan,High School or Below,Unemployed,female,0.0,Single,164,133.0,8,2,contacting_branch_directly,590.4,4-door_car
2111,Tamale,Yes,extended_plan,College,Retired,male,3981.206896551724,Married,192,120.0,5,1,contacting_agent,460.8,4-door_car
2112,Kumasi,No,primary_plan,Bachelor,Unemployed,female,0.0,Single,134,30.0,3,1,contacting_agent,482.4,2-door_car
2113,Takoradi,No,primary_plan,Bachelor,Medical Leave,female,3913.620689655173,Married,148,47.0,2,1,customer_call_centre,355.2,4-door_car
2114,Tamale,Yes,primary_plan,Bachelor,Medical Leave,male,2426.206896551724,Divorced,142,56.0,2,1,contacting_agent,511.2,4-door_car
2115,Accra,No,primary_plan,High School or Below,Employed,female,14088.448275862069,Divorced,148,0.0,2,3,contacting_branch_directly,332.224293,4-door_car
2116,Accra,No,primary_plan,Bachelor,Employed,female,9744.137931034484,Married,398,112.0,2,2,customer_call_centre,955.2,luxurious_suv
2117,Kumasi,No,primary_plan,Bachelor,Unemployed,female,0.0,Single,146,90.0,3,1,contacting_branch_directly,525.6,4-door_car
2118,Takoradi,No,primary_plan,High School or Below,Employed,male,4611.551724137931,Married,122,47.0,3,3,via_the_web,404.074203,4-door_car
2119,Kumasi,No,primary_plan,College,Employed,female,10934.827586206897,Married,132,34.0,1,2,customer_call_centre,355.922452,4-door_car
2120,Accra,Yes,extended_plan,High School or Below,Disabled,female,3807.0689655172414,Married,168,4.0,6,1,contacting_agent,451.670309,2-door_car
2121,Kumasi,No,primary_plan,College,Unemployed,female,0.0,Single,360,60.0,4,3,contacting_agent,1296.0,luxurious_suv
2122,Kumasi,No,extended_plan,Bachelor,Employed,female,5120.344827586207,Divorced,166,73.0,1,3,contacting_branch_directly,215.884804,4-door_car
2123,Accra,No,primary_plan,College,Medical Leave,female,4227.241379310345,Married,148,99.0,3,1,customer_call_centre,241.656325,2-door_car
2124,Takoradi,Yes,extended_plan,College,Employed,male,10840.172413793103,Divorced,162,0.0,1,2,customer_call_centre,207.75186,4-door_car
2125,Accra,No,extended_plan,Master,Employed,male,4892.586206896552,Married,188,112.0,3,2,customer_call_centre,451.2,4-door_car
2126,Kumasi,No,primary_plan,College,Disabled,male,3638.2758620689656,Married,200,0.0,2,1,contacting_agent,480.0,SUV
2127,Kumasi,No,primary_plan,Bachelor,Unemployed,male,0.0,Single,130,52.0,1,2,contacting_agent,312.0,2-door_car
2128,Cape_coast,No,extended_plan,High School or Below,Unemployed,female,0.0,Married,176,9.0,3,2,contacting_agent,539.280951,4-door_car
2129,Accra,No,primary_plan,Bachelor,Employed,male,14036.206896551725,Divorced,238,34.0,7,1,contacting_branch_directly,221.188327,SUV
2130,Kumasi,No,primary_plan,High School or Below,Medical Leave,female,4805.0,Married,134,77.0,2,1,via_the_web,482.4,2-door_car
2131,Takoradi,Yes,premium_plan,High School or Below,Employed,male,9905.0,Single,206,26.0,2,1,contacting_agent,494.4,4-door_car
2132,Kumasi,No,primary_plan,High School or Below,Employed,male,7051.896551724139,Married,148,9.0,1,4,contacting_branch_directly,13.628274,4-door_car
2133,Cape_coast,No,extended_plan,High School or Below,Employed,male,15293.275862068966,Married,198,30.0,1,2,customer_call_centre,171.830049,2-door_car
2134,Accra,No,extended_plan,Master,Employed,female,5062.931034482759,Married,274,60.0,7,2,contacting_agent,657.6,Sports Car
2135,Accra,No,extended_plan,College,Unemployed,female,0.0,Single,164,112.0,3,2,via_the_web,393.6,4-door_car
2136,Takoradi,No,primary_plan,Bachelor,Unemployed,female,0.0,Single,206,39.0,2,3,via_the_web,1060.310769,SUV
2137,Kumasi,No,primary_plan,Bachelor,Employed,female,9733.620689655172,Married,146,73.0,8,1,contacting_agent,350.4,4-door_car
2138,Accra,Yes,primary_plan,Bachelor,Employed,male,6050.862068965517,Divorced,146,108.0,2,2,customer_call_centre,525.6,2-door_car
2139,Kumasi,No,premium_plan,High School or Below,Unemployed,female,0.0,Single,310,39.0,8,1,customer_call_centre,1116.0,Sports Car
2140,Kumasi,Yes,extended_plan,College,Employed,female,16362.586206896553,Married,188,13.0,1,2,contacting_agent,451.2,2-door_car
2141,Tamale,No,primary_plan,Doctor,Employed,male,13826.206896551725,Married,134,95.0,7,2,contacting_agent,95.193157,4-door_car
2142,Kumasi,No,extended_plan,Master,Unemployed,male,0.0,Divorced,244,64.0,2,1,customer_call_centre,827.786203,SUV
2143,Accra,Yes,extended_plan,Master,Employed,male,10386.896551724138,Married,166,13.0,1,3,contacting_agent,326.281835,4-door_car
2144,Takoradi,No,primary_plan,College,Employed,female,9092.241379310344,Married,130,90.0,2,1,customer_call_centre,123.512596,4-door_car
2145,Takoradi,No,primary_plan,High School or Below,Employed,female,13495.689655172417,Married,144,52.0,2,4,contacting_branch_directly,25.336642,2-door_car
2146,Kumasi,No,premium_plan,Bachelor,Employed,female,13324.48275862069,Married,204,34.0,3,1,contacting_agent,489.6,4-door_car
2147,Accra,Yes,extended_plan,College,Employed,female,3724.8275862068967,Divorced,158,60.0,1,1,contacting_branch_directly,379.2,4-door_car
2148,Takoradi,No,extended_plan,High School or Below,Employed,female,8958.96551724138,Married,250,34.0,1,1,contacting_branch_directly,788.206874,Sports Car
2149,Kumasi,No,primary_plan,Bachelor,Unemployed,female,0.0,Single,136,17.0,9,1,contacting_agent,489.6,4-door_car
2150,Accra,No,primary_plan,Doctor,Employed,female,9717.586206896553,Married,394,129.0,6,4,customer_call_centre,945.6,luxurious_suv
2151,Takoradi,No,primary_plan,College,Employed,male,14785.0,Married,132,99.0,8,1,contacting_branch_directly,316.8,4-door_car
2152,Takoradi,No,extended_plan,High School or Below,Employed,female,6235.689655172414,Married,152,39.0,1,4,via_the_web,364.8,2-door_car
2153,Kumasi,No,extended_plan,Master,Employed,female,11822.06896551724,Married,446,22.0,6,4,contacting_branch_directly,1070.4,luxirious_car
2154,Accra,Yes,extended_plan,College,Employed,female,6117.586206896552,Married,258,90.0,3,1,contacting_branch_directly,619.2,SUV
2155,Tamale,No,primary_plan,High School or Below,Employed,male,15875.689655172417,Married,130,52.0,2,4,contacting_agent,114.798771,4-door_car
2156,Kumasi,No,extended_plan,Bachelor,Unemployed,male,0.0,Single,154,0.0,3,1,contacting_branch_directly,554.4,2-door_car
2157,Accra,No,premium_plan,College,Unemployed,male,0.0,Single,330,125.0,1,1,contacting_agent,1188.0,SUV
2158,Accra,No,primary_plan,Bachelor,Employed,female,5958.275862068966,Married,226,138.0,1,1,customer_call_centre,376.529086,SUV
2159,Cape_coast,No,primary_plan,Master,Medical Leave,male,2547.4137931034484,Married,138,47.0,5,3,contacting_agent,170.939409,4-door_car
2160,Accra,No,primary_plan,High School or Below,Employed,male,6144.310344827586,Married,136,56.0,9,3,contacting_branch_directly,326.4,4-door_car
2161,Kumasi,No,extended_plan,Bachelor,Employed,male,11504.48275862069,Married,194,13.0,7,2,customer_call_centre,335.840529,2-door_car
2162,Accra,No,primary_plan,Bachelor,Unemployed,female,0.0,Married,144,125.0,1,1,contacting_branch_directly,345.6,4-door_car
2163,Kumasi,No,extended_plan,College,Unemployed,female,0.0,Divorced,192,108.0,6,1,via_the_web,460.8,4-door_car
2164,Accra,No,primary_plan,Doctor,Employed,female,13744.655172413792,Single,142,52.0,6,1,contacting_agent,425.924132,4-door_car
2165,Takoradi,Yes,primary_plan,Bachelor,Employed,male,4419.310344827586,Married,126,116.0,7,2,customer_call_centre,351.270869,2-door_car
2166,Kumasi,Yes,extended_plan,College,Employed,female,10535.862068965518,Divorced,178,95.0,2,2,contacting_agent,49.451117,4-door_car
2167,Accra,No,extended_plan,College,Unemployed,male,0.0,Single,274,146.0,4,1,contacting_branch_directly,657.6,SUV
2168,Takoradi,Yes,primary_plan,College,Retired,female,3633.2758620689656,Divorced,212,108.0,3,1,contacting_agent,508.8,SUV
2169,Kumasi,No,extended_plan,Doctor,Medical Leave,male,3091.7241379310344,Married,158,34.0,2,2,customer_call_centre,379.2,4-door_car
2170,Cape_coast,Yes,primary_plan,High School or Below,Employed,male,13979.655172413792,Married,146,22.0,4,2,contacting_agent,281.295903,4-door_car
2171,Kumasi,No,primary_plan,High School or Below,Employed,female,12359.310344827589,Married,132,30.0,1,2,via_the_web,196.065149,2-door_car
2172,Kumasi,No,primary_plan,High School or Below,Employed,male,9885.862068965518,Single,122,34.0,1,2,customer_call_centre,292.8,2-door_car
2173,Takoradi,Yes,primary_plan,College,Unemployed,male,0.0,Married,204,150.0,2,1,contacting_branch_directly,489.6,SUV
2174,Kumasi,No,primary_plan,College,Employed,male,4208.448275862069,Married,124,17.0,1,4,contacting_agent,297.6,4-door_car
2175,Accra,No,extended_plan,High School or Below,Employed,female,14394.48275862069,Married,180,60.0,3,4,contacting_agent,432.784577,4-door_car
2176,Tamale,No,premium_plan,High School or Below,Unemployed,male,0.0,Married,208,125.0,2,2,contacting_branch_directly,773.346065,2-door_car
2177,Accra,No,primary_plan,Master,Employed,female,10782.241379310346,Divorced,142,82.0,1,1,contacting_branch_directly,354.199664,2-door_car
2178,Tamale,Yes,primary_plan,College,Retired,male,1831.206896551724,Single,134,120.0,5,1,contacting_agent,321.6,4-door_car
2179,Takoradi,No,extended_plan,Bachelor,Employed,female,7496.206896551725,Married,160,116.0,9,1,contacting_branch_directly,384.0,4-door_car
2180,Kumasi,Yes,extended_plan,Bachelor,Employed,female,8017.758620689656,Divorced,430,17.0,1,1,contacting_agent,1032.0,luxurious_suv
2181,Kumasi,No,primary_plan,High School or Below,Employed,female,4686.0344827586205,Divorced,132,34.0,9,1,contacting_branch_directly,344.201601,4-door_car
2182,Accra,No,primary_plan,College,Employed,female,10729.137931034484,Divorced,140,56.0,5,3,contacting_agent,336.0,2-door_car
2183,Takoradi,No,extended_plan,Bachelor,Unemployed,female,0.0,Single,184,146.0,2,1,customer_call_centre,441.6,2-door_car
2184,Kumasi,No,extended_plan,College,Employed,male,11562.06896551724,Single,252,4.0,2,1,via_the_web,339.000467,SUV
2185,Kumasi,Yes,extended_plan,College,Retired,female,2355.689655172414,Single,194,4.0,2,1,contacting_branch_directly,465.6,4-door_car
2186,Accra,No,primary_plan,High School or Below,Unemployed,female,0.0,Single,126,22.0,1,2,contacting_branch_directly,453.6,4-door_car
2187,Takoradi,No,extended_plan,Bachelor,Unemployed,female,0.0,Single,198,90.0,4,1,customer_call_centre,699.67536,4-door_car
2188,Accra,No,primary_plan,Bachelor,Employed,female,16852.58620689655,Divorced,226,43.0,5,1,contacting_branch_directly,695.136477,Sports Car
2189,Kumasi,No,premium_plan,High School or Below,Employed,female,4487.241379310345,Single,232,4.0,1,3,contacting_agent,283.670312,2-door_car
2190,Accra,No,premium_plan,College,Employed,female,12550.689655172417,Single,328,13.0,2,1,via_the_web,50.454459,SUV
2191,Kumasi,No,extended_plan,College,Employed,female,8229.310344827587,Divorced,182,52.0,2,3,customer_call_centre,219.440024,4-door_car
2192,Takoradi,Yes,extended_plan,College,Unemployed,male,0.0,Married,244,116.0,1,2,contacting_agent,725.870693,SUV
2193,Tamale,No,primary_plan,Bachelor,Unemployed,female,0.0,Married,144,26.0,8,1,contacting_agent,345.6,4-door_car
2194,Kumasi,No,primary_plan,Bachelor,Unemployed,female,0.0,Single,140,86.0,9,1,customer_call_centre,336.0,4-door_car
2195,Kumasi,No,primary_plan,Doctor,Employed,female,16859.48275862069,Single,146,150.0,2,1,customer_call_centre,236.614219,2-door_car
2196,Accra,No,primary_plan,High School or Below,Unemployed,female,0.0,Single,132,116.0,3,2,contacting_branch_directly,712.309237,4-door_car
2197,Tamale,Yes,extended_plan,Doctor,Employed,male,5313.275862068966,Divorced,176,108.0,1,2,contacting_branch_directly,91.834668,4-door_car
2198,Accra,No,primary_plan,College,Employed,female,11121.03448275862,Married,140,95.0,2,2,customer_call_centre,39.336222,2-door_car
2199,Accra,No,extended_plan,Bachelor,Employed,male,5230.172413793103,Married,174,73.0,1,3,contacting_agent,326.132867,4-door_car
2200,Kumasi,No,extended_plan,Master,Employed,male,3624.137931034483,Divorced,160,4.0,4,4,contacting_branch_directly,178.371281,4-door_car
2201,Accra,No,primary_plan,College,Employed,female,14581.724137931034,Divorced,140,56.0,2,1,customer_call_centre,167.459769,4-door_car
2202,Tamale,No,extended_plan,Bachelor,Unemployed,female,0.0,Single,168,112.0,1,1,contacting_branch_directly,700.725788,2-door_car
2203,Kumasi,No,extended_plan,Master,Unemployed,female,0.0,Married,186,120.0,8,2,contacting_branch_directly,436.143226,4-door_car
2204,Kumasi,Yes,extended_plan,High School or Below,Retired,female,2039.3103448275865,Divorced,180,77.0,2,1,contacting_agent,571.479602,4-door_car
2205,Takoradi,No,primary_plan,College,Employed,female,9463.620689655172,Married,126,138.0,1,2,customer_call_centre,302.4,4-door_car
2206,Kumasi,No,primary_plan,College,Employed,female,15503.103448275862,Married,210,64.0,9,1,contacting_branch_directly,367.230882,SUV
2207,Accra,No,premium_plan,Bachelor,Employed,male,15000.344827586208,Married,220,116.0,2,1,customer_call_centre,199.851173,2-door_car
2208,Kumasi,Yes,premium_plan,High School or Below,Employed,male,9601.206896551725,Divorced,552,142.0,1,1,contacting_agent,1324.8,luxurious_suv
2209,Kumasi,No,extended_plan,Bachelor,Disabled,male,2948.793103448276,Married,174,103.0,2,1,contacting_branch_directly,417.6,2-door_car
2210,Takoradi,No,primary_plan,College,Unemployed,female,0.0,Single,140,73.0,1,3,contacting_agent,702.020904,2-door_car
2211,Takoradi,No,primary_plan,College,Employed,male,4903.620689655173,Married,146,43.0,2,2,customer_call_centre,686.020135,2-door_car
2212,Kumasi,No,primary_plan,Bachelor,Employed,male,15726.206896551725,Married,138,39.0,6,2,customer_call_centre,270.311239,2-door_car
2213,Takoradi,No,primary_plan,Bachelor,Employed,female,11435.344827586208,Married,234,43.0,5,1,contacting_agent,497.719213,SUV
